phylum	subphylum	class	order	genus	AC	
Ascomycota	Pezizomycotina	Orbiliomycetes	Orbiliales	Arthrobotrys	NC_041444.1	Arthrobotrys musiformis
Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Calonectria	NC_046826.1	Calonectria ilicicola 8
Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Chaetomium	NC_015893.1	Chaetomium thermophilum 3
Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Coccidioides	MW722166.1	Coccidioides immitis 13
Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Coccidioides	MW722165.1	Coccidioides posadasii 11
Ascomycota	Pezizomycotina	Sordariomycetes	Diaporthales	Cryphonectria	KT428651.1	Cryphonectria parasitica 10
Ascomycota	Pezizomycotina	Sordariomycetes	Microascales	Endoconidiophora	MK026449.1	Endoconidiophora resinifera
Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Epichloe	NC_032064.1	Epichloe festucae
Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Epichloe	NC_032063.1	Epichloe typhina
Ascomycota	Pezizomycotina	Leotiomycetes	Erysiphales	Erysiphe	NC_056146.1	Erysiphe necator
Ascomycota	Pezizomycotina	Leotiomycetes	Erysiphales	Golovinomyces	NC_056148.1	Golovinomyces cichoracearum
Ascomycota	Pezizomycotina	Lecanoromycetes	Caliciales	Heterodermia	NC_040159.1	Heterodermia speciosa
Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Metarhizium	MW448543.1	Metarhizium album
Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Monilinia	NC_056195.1	Monilinia fructicola 4
Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Ophiocordyceps	NC_034659.1	Ophiocordyceps sinensis
Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	N/A	NC_049089.1	Ophiocordycipitaceae sp
Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	Pestalotiopsis	NC_031828.1	Pestalotiopsis fici
Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Podospora	NC_001329.3	Podospora anserina 1
Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Podospora	NC_040227              	Podospora comata 5
Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronema	NC_029745.1	Pyronema omphalodes
Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Sclerotinia	NC_025200.1	Sclerotinia borealis
Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Tuber	NC_053885.1	Tuber calosporum
Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Candida	NC_015814.1	Candida frijolesensis
Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Candida	NC_005253.2	Candida parapsilosis
